repository_file_id,filename,expected_size_bytes,observed_size_bytes,observed_sha256,download_url,source_dataset_doi,licence
7758b5e6-3c8a-4cf5-afd8-94d9ccc8c194,annotatedData.zip,345509,345509,f57fc8289e84800e7a1f9971560d235eaaf75def01a0c548aea73ab77aec88ca,https://data.mendeley.com/public-files/datasets/jrsb4b9yy5/files/7758b5e6-3c8a-4cf5-afd8-94d9ccc8c194/file_downloaded,https://doi.org/10.17632/jrsb4b9yy5.1,CC BY 4.0
d01f1ed6-eeb3-4d86-8b10-cf70838efdf1,originalData.zip,32259334,32259334,0962fbb6e4dbbca2d7d545399c11204371a4e72cba8877d98afa4103f0d31a03,https://data.mendeley.com/public-files/datasets/jrsb4b9yy5/files/d01f1ed6-eeb3-4d86-8b10-cf70838efdf1/file_downloaded,https://doi.org/10.17632/jrsb4b9yy5.1,CC BY 4.0
1d758af1-9a13-4a98-89f2-e25e8539c334,Thermography_Dataset_Readme.txt,2588,2588,4c98b92eb7a2d1c316652ac148e3049ff77ccbfa66c08c038b4c58ad92b43579,https://data.mendeley.com/public-files/datasets/jrsb4b9yy5/files/1d758af1-9a13-4a98-89f2-e25e8539c334/file_downloaded,https://doi.org/10.17632/jrsb4b9yy5.1,CC BY 4.0
